Name,Code,Date,Close,break_30d_day,break_52w_day,MACD_SIG_day,MACD_SIG_variation_day,MACD_HIST_week,EMA_25_Deviation_day,EMA_percentile_10,RSI_25_day,RSI_percentile_10,RSI_14_day,RSI_sig_14_day,vr_day,vr_percentile_10,BBAND_L2_day,MACD_Sign,EMA_dev_Sign,RSI_Sign,break_30d_Sign,break_52w_Sign,vr_Sign,BBAND_L2_Sign
アジレント テクノロジーズ,A,2024-11-19 00:00:00+00:00,125.1,144.8,154.6,-1.8,-0.2,0,-3.7,-3.1,36.0,39.7,29.1,38.5,58.0,63.7,124.5,0,1,1,0,0,1,0
エアープロダクツ アンド ケミカルズ,APD,2024-11-19 00:00:00+00:00,322.5,332.1,332.1,1.9,0.2,0,2.8,-2.7,63.9,39.0,67.0,56.7,112.7,64.0,298.9,0,0,0,0,0,0,0
アカマイ　テクノロジーズ,AKAM,2024-11-19 00:00:00+00:00,84.7,106.7,128.3,-2.6,-0.4,0,-5.8,-3.0,29.5,35.2,21.6,33.4,37.8,57.0,82.3,0,1,1,0,0,1,0
アラスカ　エア　グループ,ALK,2024-11-19 00:00:00+00:00,51.8,54.0,56.3,2.1,0.0,0,1.4,-4.5,69.7,37.0,70.6,74.5,203.2,50.1,43.7,0,0,0,0,0,0,0
アルベマール,ALB,2024-11-19 00:00:00+00:00,103.8,110.5,243.4,2.0,0.1,0,2.8,-5.8,57.4,37.7,59.2,57.5,109.6,50.9,89.2,0,0,0,0,0,0,0
ARE,ARE,2024-11-19 00:00:00+00:00,104.1,122.7,134.4,-2.2,-0.2,0,-3.3,-3.2,35.3,36.9,28.8,35.5,47.0,51.2,103.6,0,1,1,0,0,1,0
アライン　テクノロジー,ALGN,2024-11-19 00:00:00+00:00,221.6,234.1,385.3,-2.2,0.5,0,1.6,-5.4,50.0,35.9,53.4,48.2,108.4,54.1,201.4,0,0,0,0,0,0,0
アレジオン,ALLE,2024-11-19 00:00:00+00:00,136.8,153.4,153.4,-0.8,-0.1,0,-2.0,-2.8,44.1,39.5,37.2,44.6,68.6,65.6,134.8,0,0,0,0,0,0,0
アライアント エナジー,LNT,2024-11-19 00:00:00+00:00,61.1,62.3,62.3,-0.3,0.1,0,2.9,-2.3,58.7,40.5,62.3,50.3,91.4,65.1,55.5,0,0,0,0,0,0,0
オールステート,ALL,2024-11-19 00:00:00+00:00,196.4,200.0,200.0,1.6,0.2,0,1.2,-2.5,59.8,41.7,62.6,58.2,114.5,64.2,179.9,0,0,0,0,0,0,0
アルファベット A,GOOGL,2024-11-19 00:00:00+00:00,173.6,181.6,191.2,3.2,-0.1,0,-0.2,-3.2,56.5,40.7,56.5,61.2,142.4,61.6,160.0,0,0,0,0,0,0,0
アルファベット C,GOOG,2024-11-19 00:00:00+00:00,175.1,183.3,192.7,3.3,-0.1,0,-0.2,-3.2,56.5,40.7,56.5,61.2,153.4,62.8,161.7,0,0,0,0,0,0,0
アルトリア グループ,MO,2024-11-19 00:00:00+00:00,55.8,56.3,56.3,1.0,0.1,0,2.4,-2.4,71.2,38.3,78.6,71.3,236.5,62.6,48.4,0,0,0,0,0,0,0
アマゾン ドットコム,AMZN,2024-11-19 00:00:00+00:00,198.8,214.1,214.1,4.9,-0.1,0,-1.5,-3.4,55.3,40.8,53.2,61.6,194.5,61.7,179.7,0,0,0,0,0,0,0
アムコア,AMCR,2024-11-19 00:00:00+00:00,9.8,11.4,11.4,-0.2,-0.0,0,-3.3,-2.3,34.6,40.3,28.4,34.2,52.3,65.1,9.6,0,1,1,0,0,1,0
アメレン,AEE,2024-11-19 00:00:00+00:00,91.3,92.3,92.3,0.9,0.1,0,1.9,-2.2,62.8,40.0,64.2,59.3,110.8,64.0,83.8,0,0,0,0,0,0,0
アメリカン エアラインズ グループ,AAL,2024-11-19 00:00:00+00:00,13.8,14.4,18.8,0.5,-0.0,0,0.2,-5.3,62.2,36.4,61.4,65.4,164.7,55.2,12.5,0,0,0,0,0,0,0
アメリカン エレクトリック パワー,AEP,2024-11-19 00:00:00+00:00,95.4,101.3,104.9,-1.3,0.0,0,0.5,-2.4,45.4,39.7,45.4,38.9,78.8,62.3,92.0,0,0,0,0,0,0,0
アメリカン エキスプレス,AXP,2024-11-19 00:00:00+00:00,281.3,295.2,295.2,4.7,-0.0,0,-0.7,-3.2,58.2,41.3,55.9,62.1,89.2,65.1,260.3,0,0,0,0,0,0,0
アメリカン インターナショナル グループ,AIG,2024-11-19 00:00:00+00:00,74.8,79.2,80.5,0.1,-0.0,0,-0.6,-3.1,49.0,41.4,45.8,49.8,87.7,67.7,74.0,0,0,0,0,0,0,0
AMT,AMT,2024-11-19 00:00:00+00:00,198.3,229.4,242.8,-7.0,-0.1,0,0.3,-3.4,39.7,37.5,38.7,33.3,92.7,51.0,183.0,0,0,0,0,0,0,0
アメリカン ウォーター ワークス,AWK,2024-11-19 00:00:00+00:00,136.2,142.6,149.9,-1.9,0.1,0,1.9,-2.7,48.5,37.7,51.7,41.4,84.6,54.7,129.5,0,0,0,0,0,0,0
アメリプライズ ファイナンシャル,AMP,2024-11-19 00:00:00+00:00,557.0,567.4,567.4,17.7,0.3,0,1.2,-2.7,70.6,42.4,71.6,72.2,200.4,65.7,479.7,0,0,0,0,0,0,0
アメテック,AME,2024-11-19 00:00:00+00:00,191.1,195.4,195.4,5.5,0.2,0,1.2,-2.2,71.1,40.3,76.6,75.1,144.4,65.3,159.6,0,0,0,0,0,0,0
アムジェン,AMGN,2024-11-19 00:00:00+00:00,275.6,328.4,337.4,-5.2,-1.1,0,-6.2,-2.5,29.8,37.6,23.4,36.1,56.9,57.1,277.5,0,1,1,0,0,1,1
アンフェノール,APH,2024-11-19 00:00:00+00:00,69.1,73.9,73.9,1.5,-0.1,0,-1.7,-2.5,54.2,42.2,51.2,61.3,99.1,66.1,65.5,0,0,0,0,0,0,0
アナログ デバイセズ,ADI,2024-11-19 00:00:00+00:00,206.8,236.4,243.3,-2.7,-0.5,0,-2.9,-2.9,40.0,42.1,34.2,40.8,86.7,63.8,204.2,0,0,1,0,0,0,0
アンシス,ANSS,2024-11-19 00:00:00+00:00,334.0,355.6,362.9,4.4,-0.0,0,-0.1,-3.6,55.9,39.3,55.6,59.1,126.4,64.3,311.1,0,0,0,0,0,0,0
エーオン,AON,2024-11-19 00:00:00+00:00,377.0,386.9,386.9,6.8,-0.1,0,0.2,-2.4,64.3,40.8,63.0,65.8,102.0,64.3,355.7,0,0,0,0,0,0,0
エイピーエイ,APA,2024-11-19 00:00:00+00:00,21.9,27.1,45.3,-0.8,0.0,0,-1.4,-6.0,40.4,38.0,39.6,38.8,93.6,58.1,20.8,0,0,0,0,0,0,0
アップル,AAPL,2024-11-19 00:00:00+00:00,226.7,236.5,236.5,-0.6,0.0,0,0.9,-2.9,52.2,41.6,52.7,48.7,118.0,62.4,218.0,0,0,0,0,0,0,0
アプライド マテリアルズ,AMAT,2024-11-19 00:00:00+00:00,167.5,213.9,255.0,-2.7,-0.4,0,-5.4,-4.2,37.9,40.9,32.3,41.4,65.9,61.0,168.2,0,1,1,0,0,0,1
アプティブ,APTV,2024-11-19 00:00:00+00:00,51.5,71.8,112.4,-3.8,-0.1,0,-5.2,-4.4,31.0,38.1,25.9,30.2,44.6,59.5,45.1,0,1,1,0,0,1,0
アリスタ ネットワークス,ANET,2024-11-19 00:00:00+00:00,368.4,431.0,431.0,1.7,-1.1,0,-3.9,-3.8,46.1,42.1,39.4,48.8,52.8,64.6,365.5,0,1,0,0,0,1,0
アーサー　Ｊ　ギャラガー,AJG,2024-11-19 00:00:00+00:00,289.8,298.3,299.5,1.4,0.1,0,-0.2,-2.0,53.7,44.6,53.9,55.8,70.4,67.7,276.1,0,0,0,0,0,0,0
アシュラント,AIZ,2024-11-19 00:00:00+00:00,217.2,221.6,221.6,4.2,0.5,0,3.4,-2.5,70.7,41.4,77.2,68.1,264.5,62.4,180.5,0,0,0,0,0,0,0
AT&T,T,2024-11-19 00:00:00+00:00,22.7,23.0,23.0,0.2,0.0,0,1.9,-2.5,63.0,35.4,64.8,59.9,159.4,59.1,21.3,0,0,0,0,0,0,0
アトモス エナジー,ATO,2024-11-19 00:00:00+00:00,145.1,147.0,147.0,1.4,0.1,0,1.1,-2.3,64.2,41.4,64.5,61.7,91.9,63.2,135.1,0,0,0,0,0,0,0
オートデスク,ADSK,2024-11-19 00:00:00+00:00,298.0,313.9,313.9,6.9,-0.1,0,-0.3,-3.7,62.7,39.8,59.6,67.3,118.8,58.7,275.5,0,0,0,0,0,0,0
オートマチック データ プロセシング,ADP,2024-11-19 00:00:00+00:00,295.3,307.9,307.9,4.8,-0.1,0,-1.0,-2.2,58.7,41.3,53.6,64.7,105.7,63.6,279.0,0,0,0,0,0,0,0
オートゾーン,AZO,2024-11-19 00:00:00+00:00,3099.2,3218.5,3239.3,7.0,0.6,0,-0.2,-2.5,51.1,42.9,50.7,51.8,130.3,57.2,2968.0,0,0,0,0,0,0,0
AVB,AVB,2024-11-19 00:00:00+00:00,226.8,233.8,234.8,1.3,0.1,0,-0.1,-2.8,53.7,38.6,52.8,54.6,124.8,58.1,216.5,0,0,0,0,0,0,0
エイブリー デニソン,AVY,2024-11-19 00:00:00+00:00,195.6,220.5,229.5,-3.1,-0.2,0,-2.3,-2.6,34.8,40.5,26.8,34.9,36.7,64.2,196.5,0,0,1,0,0,1,1
ベーカー ヒューズ,BKR,2024-11-19 00:00:00+00:00,42.6,44.1,44.1,1.5,0.1,0,1.6,-4.3,69.2,39.3,72.7,73.0,293.5,59.9,34.2,0,0,0,0,0,0,0
バンク オブ アメリカ,BAC,2024-11-19 00:00:00+00:00,46.0,46.8,46.8,1.2,0.1,0,1.7,-3.4,67.8,38.5,71.4,71.1,150.9,55.0,39.8,0,0,0,0,0,0,0
バス & ボディ ワークス,BBWI,2024-11-19 00:00:00+00:00,30.1,32.5,51.9,0.2,0.0,0,-1.4,-5.3,48.5,36.9,49.1,52.2,158.1,54.8,27.8,0,0,0,0,0,0,0
バクスター インターナショナル,BAX,2024-11-19 00:00:00+00:00,32.3,37.8,49.3,-0.9,-0.1,0,-2.1,-3.3,35.0,34.5,29.8,30.7,66.2,50.9,31.2,0,0,0,0,0,0,0
ベクトン ディッキンソン,BDX,2024-11-19 00:00:00+00:00,220.5,243.8,283.6,-2.1,-0.3,0,-2.7,-2.4,37.0,40.4,31.3,39.6,37.9,63.7,220.8,0,1,1,0,0,1,1
ベスト バイ,BBY,2024-11-19 00:00:00+00:00,86.1,98.7,103.3,-1.5,0.0,0,-3.5,-3.7,41.4,38.7,37.2,42.1,76.9,57.5,86.2,0,0,0,0,0,0,1
バイオ-ラッド ラボラトリーズ A,BIO,2024-11-19 00:00:00+00:00,310.1,374.3,422.6,4.2,-1.5,0,-7.7,-4.0,41.6,37.8,34.4,51.0,97.6,60.7,300.5,0,1,0,0,0,0,0
バイオ テクネ,TECH,2024-11-19 00:00:00+00:00,66.3,77.6,89.4,-0.2,-0.2,0,-5.8,-3.7,38.5,38.6,32.4,45.4,78.1,51.8,65.3,0,1,1,0,0,0,0
バイオジェン,BIIB,2024-11-19 00:00:00+00:00,155.3,191.6,313.4,-5.8,-0.3,0,-5.5,-3.3,23.6,35.9,16.3,25.2,37.6,53.1,155.3,0,1,1,0,0,1,0
ブラックロック,BLK,2024-11-19 00:00:00+00:00,1027.8,1053.8,1053.8,20.4,0.1,0,0.2,-3.2,63.8,38.0,62.1,66.4,120.0,53.2,949.4,0,0,0,0,0,0,0
バンク オブ ニューヨーク メロン,BK,2024-11-19 00:00:00+00:00,77.6,78.7,78.7,1.2,-0.0,0,0.4,-3.3,63.2,39.4,61.7,62.8,106.8,60.0,74.2,0,0,0,0,0,0,0
ボーイング,BA,2024-11-19 00:00:00+00:00,142.7,159.9,264.3,-2.8,-0.2,0,0.1,-4.7,43.2,36.5,43.8,41.2,65.3,55.3,136.0,0,0,0,0,0,0,0
ブッキング ホールディングス,BKNG,2024-11-19 00:00:00+00:00,4937.1,5065.4,5065.4,192.5,-0.4,0,1.0,-3.5,74.8,41.0,78.0,79.5,194.6,65.3,4166.2,0,0,0,0,0,0,0
ボルグワーナー,BWA,2024-11-19 00:00:00+00:00,33.1,35.4,47.0,0.0,-0.0,0,-2.6,-3.7,46.5,39.1,42.9,49.9,96.2,66.2,32.6,0,0,0,0,0,0,0
BXP,BXP,2024-11-19 00:00:00+00:00,77.6,89.7,89.7,-0.5,-0.1,0,-1.8,-4.0,45.9,37.3,39.2,44.9,81.8,54.7,74.5,0,0,0,0,0,0,0
ボストン サイエンティフィック,BSX,2024-11-19 00:00:00+00:00,89.4,90.4,90.4,0.9,0.1,0,2.3,-2.3,60.5,43.0,62.2,57.9,96.1,62.2,81.0,0,0,0,0,0,0,0
ブリストル-マイヤーズ スクイブ,BMY,2024-11-19 00:00:00+00:00,56.1,59.8,66.2,1.4,-0.0,0,-0.2,-2.4,59.4,35.2,57.3,63.5,133.9,52.8,50.1,0,0,0,0,0,0,0
ブロードコム,AVGO,2024-11-19 00:00:00+00:00,164.3,185.9,185.9,0.3,-0.4,0,-2.8,-3.0,46.9,44.1,41.5,47.9,69.3,72.8,161.0,0,0,0,0,0,1,0
ブロードリッジ ファイナンシャル ソリューションズ,BR,2024-11-19 00:00:00+00:00,224.2,229.0,229.0,2.4,0.2,0,0.5,-2.5,62.4,40.1,64.0,63.9,82.4,60.8,204.4,0,0,0,0,0,0,0
ブラウン ＆ ブラウン,BRO,2024-11-19 00:00:00+00:00,108.2,112.4,112.4,1.5,-0.0,0,-0.6,-2.2,56.5,43.1,54.4,60.6,87.5,63.7,101.1,0,0,0,0,0,0,0
ＣＨロビンソン ワールドワイド,CHRW,2024-11-19 00:00:00+00:00,108.8,111.7,111.7,0.6,0.1,0,0.4,-2.7,57.2,38.5,56.7,56.5,106.8,58.5,100.8,0,0,0,0,0,0,0
ケイデンス デザイン システムズ,CDNS,2024-11-19 00:00:00+00:00,290.0,306.5,326.5,7.2,0.0,0,-0.0,-3.5,56.6,42.5,58.0,61.0,129.4,68.6,246.2,0,0,0,0,0,0,0
シーザーズ エンターテイメント,CZR,2024-11-19 00:00:00+00:00,35.6,45.5,59.4,-0.8,-0.1,0,-6.7,-6.1,37.9,37.7,28.9,39.8,47.1,47.5,35.1,0,1,0,0,0,1,0
キャンベル スープ,CPB,2024-11-19 00:00:00+00:00,42.9,48.7,51.9,-1.0,-0.1,0,-2.6,-2.4,32.5,37.6,26.3,29.1,99.8,62.7,42.5,0,1,1,0,0,0,0
キャピタル ワン ファイナンシャル,COF,2024-11-19 00:00:00+00:00,179.1,191.0,191.0,7.9,0.0,0,-0.3,-3.9,64.4,40.2,63.2,70.4,109.7,57.2,147.2,0,0,0,0,0,0,0
カーディナル ヘルス,CAH,2024-11-19 00:00:00+00:00,118.2,125.3,125.3,2.0,0.1,0,0.1,-2.7,59.9,40.2,59.7,61.8,111.0,63.6,105.0,0,0,0,0,0,0,0
カーマックス,KMX,2024-11-19 00:00:00+00:00,74.4,78.2,87.1,0.5,0.1,0,-1.8,-4.6,49.0,37.2,48.4,55.2,121.1,49.5,70.0,0,0,0,0,0,0,0
カーニバル,CCL,2024-11-19 00:00:00+00:00,23.9,24.6,24.6,1.2,-0.0,0,0.9,-7.1,70.4,36.7,72.5,75.2,149.6,51.4,20.0,0,0,0,0,0,0,0
キャリア グローバル,CARR,2024-11-19 00:00:00+00:00,73.3,82.7,82.7,-0.7,0.0,0,-1.4,-2.9,45.9,41.7,40.8,44.3,40.8,59.8,70.6,0,0,0,0,0,1,0
キャタレント,CTLT,2024-11-19 00:00:00+00:00,58.4,61.0,61.0,-0.2,-0.0,0,-0.8,-4.8,41.2,36.4,36.1,41.3,43.8,48.1,58.1,0,0,0,0,0,1,0
キャタピラー,CAT,2024-11-19 00:00:00+00:00,378.0,416.9,416.9,2.7,-0.4,0,-1.8,-3.1,50.2,40.3,45.4,52.1,91.1,60.0,365.5,0,0,0,0,0,0,0
CBOE,CBOE,2024-11-19 00:00:00+00:00,204.0,215.0,215.0,-2.0,-0.0,0,1.8,-2.0,50.9,42.1,51.6,45.0,150.0,63.0,191.2,0,0,0,0,0,0,0
CBRE グループ,CBRE,2024-11-19 00:00:00+00:00,131.0,136.1,136.1,2.7,-0.1,0,-0.0,-3.3,59.4,38.8,56.1,61.2,92.7,65.8,124.8,0,0,0,0,0,0,0
CDW,CDW,2024-11-19 00:00:00+00:00,173.4,225.7,257.9,-7.8,-0.5,0,-6.2,-2.9,29.0,40.2,23.8,30.6,46.0,71.2,167.0,0,1,1,0,0,1,0
セラニーズ,CE,2024-11-19 00:00:00+00:00,71.4,136.2,171.9,-12.6,-0.7,0,-12.0,-3.8,18.7,36.9,10.5,18.6,22.2,57.4,52.3,0,1,1,0,0,1,0
センティーン,CNC,2024-11-19 00:00:00+00:00,57.8,72.9,80.4,-2.6,0.0,0,-1.8,-3.5,36.7,38.4,36.1,35.2,59.5,59.8,56.2,0,0,0,0,0,1,0
センターポイント エナジー,CNP,2024-11-19 00:00:00+00:00,30.9,31.1,31.3,0.2,0.0,0,2.8,-2.3,64.3,40.9,70.8,60.2,180.8,59.9,28.2,0,0,0,0,0,0,0
CFインダストリーズ ホールディングス,CF,2024-11-19 00:00:00+00:00,86.2,88.3,90.2,0.2,0.1,0,1.7,-3.9,57.9,39.3,61.5,54.5,131.5,55.2,80.2,0,0,0,0,0,0,0
チャールズ リバー ラボラトリーズ インターナショナル,CRL,2024-11-19 00:00:00+00:00,183.9,220.7,273.4,1.7,-0.3,0,-4.7,-4.0,45.0,39.0,42.7,50.6,116.1,55.9,164.0,0,1,0,0,0,0,0
チャールズシュワブ,SCHW,2024-11-19 00:00:00+00:00,79.9,81.4,81.4,2.5,0.2,0,3.3,-3.5,74.4,38.8,81.0,76.5,291.2,61.3,66.6,0,0,0,0,0,0,0
チャーター コミュニケーションズ,CHTR,2024-11-19 00:00:00+00:00,379.2,408.0,455.7,15.2,0.1,0,-0.7,-3.7,61.4,35.9,61.4,68.2,165.5,51.9,307.8,0,0,0,0,0,0,0
シェブロン,CVX,2024-11-19 00:00:00+00:00,158.8,161.8,171.0,2.4,0.1,0,1.1,-3.0,62.0,39.4,66.2,65.5,143.8,53.9,145.1,0,0,0,0,0,0,0
チポトレ メキシカン グリル,CMG,2024-11-19 00:00:00+00:00,57.7,60.6,68.6,0.3,0.0,0,-0.9,-3.5,51.0,40.4,48.7,53.6,164.6,63.1,55.1,0,0,0,0,0,0,0
チャブ,CB,2024-11-19 00:00:00+00:00,283.3,301.9,301.9,-1.2,0.1,0,0.2,-2.3,50.7,42.5,49.8,48.1,93.3,66.8,272.2,0,0,0,0,0,0,0
チャーチ アンド ドワイト,CHD,2024-11-19 00:00:00+00:00,109.8,110.3,110.3,1.1,0.2,0,3.1,-2.0,66.2,40.5,75.2,63.6,120.9,61.7,97.7,0,0,0,0,0,0,0
シグナ グループ,CI,2024-11-19 00:00:00+00:00,319.2,358.6,366.9,-3.9,0.3,0,-0.8,-2.9,45.4,38.6,45.9,44.9,54.4,66.0,299.1,0,0,0,0,0,1,0
シンシナティ ファイナンシャル,CINF,2024-11-19 00:00:00+00:00,149.0,152.1,152.1,3.1,0.1,0,0.8,-2.7,63.7,40.1,64.1,65.9,121.0,63.1,134.3,0,0,0,0,0,0,0
シンタス,CTAS,2024-11-19 00:00:00+00:00,214.5,225.7,225.7,3.1,-0.0,0,-0.6,-2.1,58.1,43.1,54.7,62.0,112.5,64.1,199.9,0,0,0,0,0,0,0
シスコ システムズ,CSCO,2024-11-19 00:00:00+00:00,56.3,59.2,59.2,1.1,-0.0,0,-1.2,-2.5,59.8,37.7,54.0,66.9,123.5,58.3,54.0,0,0,0,0,0,0,0
シティグループ,C,2024-11-19 00:00:00+00:00,67.7,69.8,69.8,1.5,0.0,0,0.4,-3.7,59.0,36.7,60.1,61.9,99.4,56.2,60.1,0,0,0,0,0,0,0
シチズンズ ファイナンシャル グループ,CFG,2024-11-19 00:00:00+00:00,45.7,48.3,48.3,1.2,0.0,0,0.6,-4.1,63.0,37.7,65.0,66.9,136.1,53.6,39.3,0,0,0,0,0,0,0
クロロックス,CLX,2024-11-19 00:00:00+00:00,167.3,169.1,169.1,1.3,0.2,0,1.7,-2.5,62.7,38.1,67.0,59.8,173.4,55.0,153.8,0,0,0,0,0,0,0
CME グループ,CME,2024-11-19 00:00:00+00:00,225.7,229.7,229.7,1.0,-0.0,0,0.7,-2.2,55.9,40.1,55.3,53.9,106.7,61.2,217.8,0,0,0,0,0,0,0
CMS エナジー,CMS,2024-11-19 00:00:00+00:00,67.7,72.1,72.1,-0.6,-0.0,0,0.1,-2.0,48.0,40.7,46.1,44.3,92.3,62.2,65.1,0,0,0,0,0,0,0
コカ-コーラ,KO,2024-11-19 00:00:00+00:00,61.6,70.6,73.0,-1.7,-0.0,0,-1.7,-2.0,27.0,39.0,19.4,21.9,35.3,59.0,60.7,0,0,1,0,0,1,0
コグニザントテクノロジーソリューション A,CTSH,2024-11-19 00:00:00+00:00,75.2,82.3,82.3,0.8,-0.0,0,-3.4,-2.6,47.0,37.5,42.3,55.5,99.6,61.7,71.4,0,1,0,0,0,0,0
コルゲート パルモリーブ,CL,2024-11-19 00:00:00+00:00,93.0,101.6,108.8,-2.2,0.1,0,0.9,-1.8,40.3,39.2,42.5,32.1,75.0,60.7,88.3,0,0,0,0,0,0,0
コムキャスト,CMCSA,2024-11-19 00:00:00+00:00,42.3,45.1,47.1,0.6,-0.0,0,-1.4,-2.7,53.2,39.0,49.3,58.2,164.8,64.2,40.9,0,0,0,0,0,0,0
コメリカ,CMA,2024-11-19 00:00:00+00:00,67.0,70.8,70.8,2.3,-0.0,0,-1.0,-4.5,62.0,38.2,59.4,69.0,154.6,53.1,58.7,0,0,0,0,0,0,0
コナグラ ブランズ,CAG,2024-11-19 00:00:00+00:00,26.4,30.3,35.0,-0.7,-0.0,0,-3.4,-2.5,30.1,38.0,23.7,28.1,56.6,64.7,26.2,0,1,1,0,0,1,0
コノコフィリップス,COP,2024-11-19 00:00:00+00:00,112.3,113.8,133.5,1.0,0.1,0,1.4,-3.7,57.0,39.5,62.3,58.2,114.4,55.2,100.5,0,0,0,0,0,0,0
コンソリデーテッド エジソン,ED,2024-11-19 00:00:00+00:00,95.3,107.4,107.4,-1.7,-0.1,0,-1.3,-2.2,37.2,39.7,30.3,33.4,85.0,55.8,91.9,0,0,1,0,0,0,0
コンステレーション ブランズ A,STZ,2024-11-19 00:00:00+00:00,236.7,245.7,272.8,-1.9,0.2,0,0.3,-2.1,47.6,39.8,49.4,45.7,85.8,60.2,227.8,0,0,0,0,0,0,0
コパート,CPRT,2024-11-19 00:00:00+00:00,56.2,57.9,58.1,0.9,0.1,0,0.7,-2.9,61.1,41.3,64.2,63.9,85.1,59.4,49.0,0,0,0,0,0,0,0
コーニング,GLW,2024-11-19 00:00:00+00:00,45.8,49.0,49.0,0.6,-0.1,0,-2.2,-3.0,51.2,38.9,44.0,55.9,65.1,53.1,45.4,0,0,0,0,0,0,0
コルテバ,CTVA,2024-11-19 00:00:00+00:00,56.2,61.8,61.8,-0.0,-0.1,0,-1.6,-3.1,45.5,41.4,39.9,46.4,148.9,61.7,54.9,0,0,0,0,0,0,0
コストコ ホールセール,COST,2024-11-19 00:00:00+00:00,916.4,943.8,943.8,7.2,0.5,0,0.7,-2.1,58.3,42.8,59.9,58.5,130.8,68.8,858.0,0,0,0,0,0,0,0
コテラ エナジー,CTRA,2024-11-19 00:00:00+00:00,25.9,26.1,29.7,0.3,0.1,0,3.3,-3.7,63.2,40.3,71.5,61.3,227.0,54.8,22.2,0,0,0,0,0,0,0
CCI,CCI,2024-11-19 00:00:00+00:00,103.5,115.7,120.2,-2.2,0.0,0,-0.0,-3.2,41.8,36.0,40.2,37.1,132.8,54.6,99.8,0,0,0,0,0,0,0
CSX,CSX,2024-11-19 00:00:00+00:00,34.5,36.9,38.4,0.4,0.0,0,-1.4,-2.6,51.5,39.2,49.9,56.1,87.3,56.9,31.9,0,0,0,0,0,0,0
カミンズ,CMI,2024-11-19 00:00:00+00:00,358.1,366.3,366.3,8.5,0.3,0,1.1,-2.4,67.7,40.4,68.9,70.0,160.9,66.0,312.9,0,0,0,0,0,0,0
CVS ヘルス,CVS,2024-11-19 00:00:00+00:00,55.3,67.5,81.4,-1.4,-0.0,0,1.1,-2.9,46.0,36.6,46.4,41.4,47.5,61.8,52.0,0,0,0,0,0,1,0
DR ホートン,DHI,2024-11-19 00:00:00+00:00,158.6,194.6,197.1,-5.3,-0.1,0,-2.4,-3.3,39.6,40.8,35.7,38.9,49.9,67.4,151.4,0,0,1,0,0,1,0
ダナハー,DHR,2024-11-19 00:00:00+00:00,228.7,274.4,280.8,-6.8,-0.3,0,-3.1,-2.9,29.6,40.6,21.1,27.8,32.8,64.0,228.6,0,1,1,0,0,1,0
